ID;Severidad_accidente;Numero_vehiculos;Numero_victimas;Dia_semana;Tipo_via;Limite_velocidad;Iluminacion;Clima;Condicion_via;Condiciones especiales;Tipo_area
201201TD00032;Fatal;2;70.000.000;3;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
201301TD00079;Fatal;1;3;3;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200801WW73704;Fatal;2;1;7;Calzada;30;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
20104100D0210;Fatal;2;2;3;Calzada;30;Oscuridad con luces encendidas;Lluvioso;Humeda;No;Urbano
201032B269810;Fatal;2;2;6;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
201030D000020;Fatal;1;2;7;Un solo sentido;30;Oscuridad con luces encendidas;Bueno;Con nieve;No;Urbano
201405AA04593;Fatal;2;1;5;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
201060L044859;Fatal;1;1;3;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
200614A207506;Fatal;1;1;2;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
2009160C00660;Fatal;1;1;7;Calzada;60;Luz_dia;Bueno;Hielo;No;Rural
201434TK80174;Fatal;1;4;5;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
200514B058705;Fatal;2;1;4;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200737G022362;Fatal;1;1;4;Rotonda;60;Luz_dia;Bueno;Seca;No;Urbano
200832D383708;Fatal;1;1;2;Rotonda;60;Oscuridad con luces encendidas;Bueno;Seca;No;Rural
200504CM05054;Fatal;1;1;4;Autovia;70;Oscuridad con luces encendidas;Bueno;Seca;No;Rural
200905EE30780;Fatal;1;1;6;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
20094100C0287;Fatal;1;2;6;Calzada;30;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
201120S027741;Fatal;2;1;4;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
20084100C1235;Fatal;5;2;1;Calzada;40;Oscuridad con luces encendidas;Bueno;Humeda;No;Urbano
200701XD67625;Fatal;3;1;7;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
